file_name,cycle_name,ambient_temp_C,method,capacity_ah,initial_soc_percent,rest_current_threshold_A,min_rest_duration_s,min_correction_interval_s,correction_gain,max_correction_step_percent,correction_count,duration_s,final_soc_ref_percent,final_soc_pred_percent,MAE_percent,RMSE_percent,MAX_ERROR_percent,FINAL_ERROR_percent
03-20-17_01.43 25degC_US06_Pan18650PF.mat,US06,,coulomb_counting,2.9,100.0,0.05,30.0,300.0,0.2,1.0,1,4818.869999796152,10.828965517241372,10.823999267737094,0.010239763546324644,0.013101875657420214,0.04450450796774419,-0.004966249504278153
03-20-17_01.43 25degC_US06_Pan18650PF.mat,US06,,voltage_to_soc_lookup_raw,2.9,100.0,0.05,30.0,300.0,0.2,1.0,1,4818.869999796152,10.828965517241372,10.819520803638108,13.597766650671403,16.953951946759,63.77529998758483,-0.009444713603263821
03-20-17_01.43 25degC_US06_Pan18650PF.mat,US06,,ocv_corrected_coulomb_counting,2.9,100.0,0.05,30.0,300.0,0.2,1.0,1,4818.869999796152,10.828965517241372,10.62399926773682,0.02148380757366019,0.050320467082263176,0.204966249504551,-0.204966249504551
03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,,coulomb_counting,2.9,100.0,0.05,30.0,300.0,0.2,1.0,1,22447.86600060761,6.845172413793094,6.992107924563314,0.0791909849738058,0.0917131859460025,0.15402195489467374,0.14693551077021993
03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,,voltage_to_soc_lookup_raw,2.9,100.0,0.05,30.0,300.0,0.2,1.0,1,22447.86600060761,6.845172413793094,8.738565629228711,4.070734733171978,5.540968803809306,28.380634448676076,1.8933932154356174
03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,,ocv_corrected_coulomb_counting,2.9,100.0,0.05,30.0,300.0,0.2,1.0,1,22447.86600060761,6.845172413793094,6.8442220856509675,0.07743150756224668,0.09028347957022216,0.15402195489595005,-0.0009503281421263665
03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,,coulomb_counting,2.9,100.0,0.05,30.0,300.0,0.2,1.0,1,14103.97900119424,10.792068965517245,10.71628413763159,0.0386939636172503,0.045205956949406004,0.08686515478035517,-0.07578482788565566
03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,,voltage_to_soc_lookup_raw,2.9,100.0,0.05,30.0,300.0,0.2,1.0,1,14103.97900119424,10.792068965517245,11.06537734392281,6.499726296064586,8.873677823031997,42.24345006253349,0.27330837840556477
03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,,ocv_corrected_coulomb_counting,2.9,100.0,0.05,30.0,300.0,0.2,1.0,1,14103.97900119424,10.792068965517245,10.516284137629025,0.042530015691569986,0.05824275106153813,0.27578482788822,-0.27578482788822
03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,,coulomb_counting,2.9,100.0,0.05,30.0,300.0,0.2,1.0,1,11733.22799988091,12.082068965517237,12.086132904870198,0.015091614643783452,0.01886817026540722,0.03963380042075926,0.004063939352960233
03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,,voltage_to_soc_lookup_raw,2.9,100.0,0.05,30.0,300.0,0.2,1.0,1,11733.22799988091,12.082068965517237,11.609664077726643,7.882179582016885,11.291629875863313,48.813126508949715,-0.472404887790594
03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,,ocv_corrected_coulomb_counting,2.9,100.0,0.05,30.0,300.0,0.2,1.0,1,11733.22799988091,12.082068965517237,11.886132904869978,0.019523394505976323,0.03524718175211327,0.19593606064725932,-0.19593606064725932
