epoch,train_total_RMSE,train_supervised_RMSE,train_distill_RMSE,val_total_RMSE,val_supervised_RMSE,val_distill_RMSE,alpha
1,60.202150311322,60.22885763553021,60.162065035255765,59.42300033446645,59.44905332640924,59.3838994152929,0.6
2,59.833967102305785,59.86103544915491,59.79333903878193,58.825295001650865,58.85125914647026,58.786327282716215,0.6
3,59.10847420792488,59.13506144770835,59.068568436242025,57.909462184921686,57.935294001287545,57.87069284053674,0.6
4,57.955154285553505,57.98208484980365,57.91473281921714,56.71457327941051,56.74015823594983,56.67617418901107,0.6
5,56.73450214051501,56.760779099956785,56.6950618108473,55.406036290478994,55.43134522274491,55.368051200579565,0.6
6,55.25297386276553,55.280425477132184,55.211768202716975,53.9009838913273,53.925945224533386,53.863520202394405,0.6
7,53.75854730479141,53.78545954474934,53.71815139227442,52.3377412595944,52.36231946734216,52.30085229124498,0.6
8,52.16139885811826,52.188378562170236,52.120901413059315,50.68915928618885,50.713298286020354,50.65292921718595,0.6
9,50.48727012076568,50.513302044275356,50.448195399182424,48.92964895515806,48.95326713592516,48.894200292730275,0.6
10,48.61896550847323,48.64446626603371,48.580687446427916,47.07522238396756,47.098223700913074,47.0406993206747,0.6
11,46.71970891574427,46.74535172071013,46.681216395178936,45.13606031134848,45.15832742842468,45.102639023398616,0.6
12,44.74737951363057,44.772819697565296,44.70919073038408,43.12650614444164,43.14789219169272,43.09440717410439,0.6
13,42.66241222902588,42.6877107886256,42.62443469560934,41.06494683301608,41.08527271163065,41.034439137296616,0.6
14,40.590935009457446,40.61527332022011,40.55439887935597,38.975846699931516,38.9948867967207,38.94726910205403,0.6
15,38.52601855890926,38.54894468931107,38.491602558697075,36.89031891814996,36.9077896455943,36.86409730241438,0.6
16,36.33740951330062,36.36006507676195,36.303397875339684,34.79778568633175,34.81327142323025,34.77454415083593,0.6
17,34.169888286856036,34.1919239189721,34.13680705760033,32.2402427402947,32.25534415507762,32.21757734590021,0.6
18,31.22789698325907,31.249167780111744,31.195963105034327,29.445342141468235,29.459071846589126,29.424735571905526,0.6
19,28.752320432440982,28.77143225457572,28.723627761309007,26.908699574542222,26.920522628177537,26.89095524746367,0.6
20,26.3465762243683,26.361961147294917,26.323481066921737,24.287885445104752,24.294248501526162,24.278337733573704,0.6
21,23.594019959291156,23.608271462305627,23.572625627563696,21.649762426751145,21.65483865914303,21.6421458457021,0.6
22,21.243480771695765,21.251530828431804,21.231399201388253,19.128417982460515,19.13088240570972,19.124720752148416,0.6
23,18.87715549704676,18.880930979835327,18.871490011297677,16.62008268443632,16.61504232157283,16.627640363932148,0.6
24,16.445491658492905,16.442270950199163,16.45032097646585,14.167995136279536,14.158348483743058,14.182452812311329,0.6
25,14.233856872888127,14.226980823303661,14.244164188041966,11.526794135067501,11.512043493044239,11.548884773083206,0.6
26,11.877903993581196,11.865114147235062,11.897062589063994,8.961297296885315,8.94854608586117,8.98039016589693,0.6
27,9.706049183695603,9.694102422222231,9.723941430787667,6.717443039215698,6.691640267452677,6.755962422873394,0.6
28,7.972173782817453,7.961598976214304,7.988009418475918,4.909794007309662,4.883776662620481,4.948563554204392,0.6
29,7.225059229202105,7.222438573968296,7.228988206856174,3.862510488551445,3.8647206462858508,3.8591928786577405,0.6
30,6.583107005370967,6.585661601887448,6.579272982848757,3.086196216409715,3.0821742035525705,3.0922194268658747,0.6
31,6.487011410089756,6.4883763836613655,6.4849631347449765,2.747486404926796,2.7801114441468386,2.6978091853075137,0.6
32,6.209900004135089,6.217665339400534,6.198233545574893,2.3568653021718884,2.387823021092605,2.3096508310488724,0.6
33,6.278869950936494,6.291575511353945,6.259762947335503,2.2198966918139815,2.250120795504177,2.173772737494912,0.6
34,6.128521569210227,6.1375164511806855,6.115004121455798,1.9999198420673825,1.97979592475753,2.029731652511552,0.6
35,5.955484757382876,5.959521589646199,5.949424161894024,2.222740624943159,2.2712033754810754,2.1479973359473274,0.6
36,5.974399600038795,5.983590517162164,5.960586448430657,1.6141036553689074,1.6471680729660696,1.5631962560056363,0.6
37,5.861879431433022,5.871452598531857,5.847490057461302,1.7029859153581761,1.7398254393567716,1.6461815606491703,0.6
38,5.973297754229236,5.982637981646703,5.959259719437987,1.5400800874866225,1.543116308954917,1.5355144985437412,0.6
39,6.084357864610578,6.095982339644558,6.0668791447591985,1.5279738119337793,1.570259283122472,1.4622546291737841,0.6
40,5.96673371752147,5.972469511461504,5.958119486572343,1.4887785313560362,1.499059461726135,1.4732226185748762,0.6
41,5.995655162835146,6.000365222064902,5.988582951933387,1.515411881082758,1.4986183638107977,1.5402588817437566,0.6
42,5.906799051129562,5.911100430463365,5.900340906726386,2.0043012620085734,2.0437783848835798,1.9435827078997434,0.6
43,5.68157546756093,5.688538519077508,5.671114651432867,1.310678544230954,1.3766583932130745,1.2049535751896945,0.6
44,5.909081926761371,5.91576015318815,5.899050122499683,1.2009332087904423,1.2175096900757985,1.1756303253134337,0.6
45,5.895746483894793,5.905558002613185,5.88099826591797,1.5599111090301143,1.545960666659497,1.580605926820942,0.6
46,5.707148500909533,5.712349708714476,5.699337611833829,1.1294786104471033,1.1789967112280975,1.0508353634198813,0.6
47,5.794459781962433,5.803481328558909,5.780900794377685,1.4039426736240885,1.4023088966225061,1.4063897805149674,0.6
48,5.727955851748478,5.733106773878813,5.720220572221658,1.6842816357047274,1.6886049820805344,1.677775727762706,0.6
49,5.81551184856678,5.827675467588714,5.7972183580760435,1.1109951599867194,1.1746733759350363,1.0079629475277685,0.6
50,5.764322554026139,5.771109315344724,5.754127227451839,1.3811704897543202,1.4165018864708971,1.3264099716366187,0.6
51,5.568023173585273,5.5746620489451955,5.5580497970592315,1.1554773790760762,1.2237470836818964,1.0447413778832428,0.6
52,5.753874055431415,5.757036660552964,5.749126619293851,1.3315385013361296,1.371787697136594,1.2687729199223106,0.6
53,5.884243499539355,5.893692899225293,5.870040649900331,1.0313174254598774,1.0964936313435503,0.9249819753798053,0.6
54,5.8376726054324335,5.84235035589248,5.830648648309884,1.1331052415054068,1.1698360761918365,1.0756598221918015,0.6
55,5.635860636948986,5.6448092772649465,5.622410727375483,1.0498282950652302,1.0749486489562008,1.0109781036005567,0.6
56,5.680372290928763,5.687205182188599,5.670107288259914,1.1207640053297128,1.10801301548471,1.139623018976657,0.6
57,5.747020793998163,5.7517613815422735,5.739902329917409,1.2107151934929365,1.274796305074086,1.1076641053319294,0.6
58,5.741664357949743,5.746976477154352,5.733686704277119,1.028417662733788,1.0711127860327465,0.9608242929655868,0.6
59,5.68514282383067,5.690810650980408,5.676630309511546,1.391371708676266,1.4223870832950964,1.3435068132222787,0.6
60,5.863309270433583,5.8696540696794965,5.85377896737565,1.525352159081062,1.5468972715065343,1.4924514297428917,0.6
61,5.899888157776366,5.904214958263775,5.893391792436854,0.9094795363600259,0.9756644735714586,0.8000005125997809,0.6
62,5.960315752065548,5.971891394483288,5.942909703953549,0.9959468598609723,0.9772013901326257,1.0234214839701303,0.6
63,5.687547143009721,5.697433252524008,5.672685422127928,1.5820033393564197,1.5928592062380205,1.5655784036551261,0.6
64,5.759115399594178,5.763965980447843,5.751831542010334,0.9503983064177224,0.9703886877546881,0.919598305849238,0.6
65,5.701862580278239,5.707465706854652,5.6934472492114,0.9566247629553903,0.9746053691774046,0.9290015631335097,0.6
66,5.709807482557591,5.717411213655372,5.698382661561946,1.339436176022606,1.3654759620330248,1.2993984261034535,0.6
67,5.659191236085983,5.662208932112997,5.654661432270177,1.4776647742445967,1.5101912319277904,1.4274861215160628,0.6
68,5.671010353451585,5.686594659505995,5.647553079720438,1.3927664908927435,1.3930521154355928,1.392337944216434,0.6
69,5.557900719464042,5.565444592926802,5.546565501703789,0.9371301302851471,0.9847962219980814,0.8606955352667403,0.6
70,5.66874782744085,5.679555195834484,5.652497857482618,0.9432739598243852,0.972518482179723,0.8976224768438072,0.6
71,5.678634593661859,5.68279445421985,5.6723889274813155,1.0858081219123288,1.1561134876391979,0.9708504517046087,0.6
72,5.751596925146054,5.755944788815719,5.745068758822117,1.0826436977729628,1.107123333016095,1.044849428891927,0.6
73,5.8474332915551654,5.856188029081673,5.834276357612095,0.9327179571704267,0.979341565737867,0.8580455206442075,0.6
74,5.735261732800095,5.743487966496668,5.722900021835364,1.0974511548862413,1.1527247429461134,1.008878631899094,0.6
75,5.781050715030501,5.785944866429556,5.773701531643122,1.0598441308960194,1.0740909569760502,1.0381073541307066,0.6
76,5.651353986547823,5.654851623400532,5.646103223005775,0.8461143850415012,0.8844371463790294,0.7851307423561845,0.6
77,5.607921972101417,5.609716769977018,5.605228439946081,1.0201109893102194,1.0565483349107534,0.9628730447336545,0.6
78,5.578330850619726,5.593177757098718,5.555985883364814,1.0344157669008973,1.0358626924089502,1.032241575768894,0.6
79,5.706125706240055,5.711263219018246,5.698410529264841,0.8889723854453244,0.915558528114738,0.847530900678812,0.6
80,5.6091909641612,5.615542069962324,5.599650662330217,0.9378569495634947,0.9150468139971504,0.9710680392752381,0.6
