method,sample_count,MAE_percent,MAE_fraction,RMSE_percent,RMSE_fraction,MAX_ERROR_percent,MAX_ERROR_fraction,P95_ABS_ERROR_percent,P95_ABS_ERROR_fraction,P99_ABS_ERROR_percent,P99_ABS_ERROR_fraction,FINAL_ERROR_percent,FINAL_ERROR_fraction,source_summary
Filtered-feature MLP,48206,0.4682107416819057,0.004682107416819057,0.5827808044333913,0.005827808044333913,3.6674169031801056,0.036674169031801054,1.0981180465271658,0.010981180465271658,1.551309534784344,0.015513095347843439,0.0776678767021105,0.0007766787670211051,./dataset/processed/mlp_filtered_features_25degC/mlp_filtered_features_25degC_summary.csv
LSTM,48029,0.4920922198886906,0.004920922198886906,0.6211580768267121,0.006211580768267121,3.378965377807617,0.03378965377807617,1.2229007403055825,0.012229007403055825,1.6659831206003826,0.016659831206003825,1.097162405649821,0.01097162405649821,./dataset/processed/lstm_baseline_25degC/lstm_baseline_25degC_summary.csv
Filtered-feature CNN-LSTM Teacher,48029,0.500742524799007,0.0050074252479900706,0.6938427788608751,0.006938427788608751,3.1272684733072915,0.03127268473307292,1.4781525611877429,0.01478152561187743,2.199433046976725,0.021994330469767252,-1.2732621828715007,-0.012732621828715008,./dataset/processed/cnn_lstm_teacher_filtered_features_25degC/cnn_lstm_teacher_filtered_features_25degC_summary.csv
Filtered-feature Distilled Tiny CNN-LSTM,48029,0.5420417688376998,0.005420417688376998,0.7802542049296846,0.007802542049296845,4.2476348876953125,0.042476348876953125,1.3799726486206048,0.013799726486206048,2.960396652221678,0.02960396652221678,0.6655996640523275,0.006655996640523275,./dataset/processed/cnn_lstm_distilled_student_filtered_features_25degC/cnn_lstm_distilled_student_filtered_features_25degC_summary.csv
Filtered-feature Tiny CNN-LSTM Student,48029,0.6117197010561171,0.00611719701056117,0.7975020407209173,0.007975020407209174,3.5066070556640625,0.03506607055664063,1.51683718363444,0.015168371836344402,2.302301635742186,0.02302301635742186,0.3638901710510254,0.003638901710510254,./dataset/processed/cnn_lstm_student_filtered_features_25degC/cnn_lstm_student_filtered_features_25degC_summary.csv
CNN-LSTM Teacher,48029,0.6634975568215952,0.006634975568215951,0.8337026856235544,0.008337026856235545,5.196771303812663,0.05196771303812663,1.5851537386576318,0.01585153738657632,2.238738109270732,0.022387381092707322,0.3853338559468587,0.003853338559468587,./dataset/processed/cnn_lstm_teacher_25degC/cnn_lstm_teacher_25degC_summary.csv
Distilled Tiny CNN-LSTM,48029,0.7110512081528158,0.007110512081528158,0.8903412800373395,0.008903412800373395,3.428160349527994,0.03428160349527994,1.743554679552713,0.01743554679552713,2.269141432444255,0.02269141432444255,0.7449189821879069,0.007449189821879068,./dataset/processed/cnn_lstm_distilled_student_25degC/cnn_lstm_distilled_student_25degC_summary.csv
Tiny CNN-LSTM Student,48029,0.7559592651077635,0.007559592651077635,1.0312985370091168,0.010312985370091168,7.102691014607747,0.07102691014607747,2.100634479522704,0.02100634479522704,3.0894173876444473,0.030894173876444473,1.1682852109273274,0.011682852109273273,./dataset/processed/cnn_lstm_student_25degC/cnn_lstm_student_25degC_summary.csv
Instantaneous MLP,48206,1.519985014794382,0.015199850147943821,1.98632722382792,0.0198632722382792,18.749072325120313,0.18749072325120314,,,,,1.9516767337317065,0.019516767337317064,./dataset/processed/mlp_baseline_25degC/mlp_baseline_25degC_summary.csv
