cycle,method,max_abs_error_percent,signed_error_percent,time_s,reference_soc_percent,predicted_soc_percent
UDDS,Coulomb Counting,0.15402195489467374,0.15402195489467374,22067.663999274373,7.24655172413793,7.400573679032604
UDDS,Instantaneous MLP,13.894685469943873,-13.894685469943873,13835.58800071478,44.31931034482758,30.424624874883705
UDDS,Filtered-feature MLP,3.9200725377856003,-3.9200725377856003,13835.58800071478,44.31931034482758,40.39923780704198
UDDS,LSTM,2.2288183725291333,2.2288183725291333,19707.6139960438,17.528965517241375,19.757783889770508
UDDS,Filtered CNN-LSTM Teacher,2.804748598296058,-2.804748598296058,173.9989958703518,99.29896551724138,96.49421691894533
UDDS,Filtered Distilled Tiny CNN-LSTM,4.361054340230993,-4.361054340230993,59.005000814795494,99.7606896551724,95.3996353149414
LA92,Coulomb Counting,0.08686515478035695,-0.08686515478035695,13278.795999661088,15.334482758620696,15.24761760384034
LA92,Instantaneous MLP,16.761293819873558,-16.761293819873558,428.9929959923029,96.72689655172414,79.96560273185058
LA92,Filtered-feature MLP,2.89301488481955,2.89301488481955,11710.8599960804,25.98344827586206,28.87646316068161
LA92,LSTM,2.601409891062758,-2.601409891062758,488.9939982444048,95.9003448275862,93.29893493652344
LA92,Filtered CNN-LSTM Teacher,2.9925975720635876,-2.9925975720635876,130.99799193441868,99.43137931034482,96.43878173828124
LA92,Filtered Distilled Tiny CNN-LSTM,4.501486763789742,-4.501486763789742,61.000996828079224,99.91586206896552,95.41437530517578
NN,Coulomb Counting,0.03963380042075926,0.03963380042075926,9585.399999842048,28.697931034482764,28.737564834903523
NN,Instantaneous MLP,25.591237685543515,-25.591237685543515,5983.629996702075,56.84793103448276,31.256693348939248
NN,Filtered-feature MLP,4.18916328693517,4.18916328693517,6229.632997512817,53.66413793103448,57.85330121796965
NN,LSTM,5.306668211838293,-5.306668211838293,6239.634995162487,53.18551724137931,47.878849029541016
NN,Filtered CNN-LSTM Teacher,3.5844581761853647,-3.5844581761853647,94.989999756217,97.93724137931036,94.352783203125
NN,Filtered Distilled Tiny CNN-LSTM,3.880364316742998,-3.880364316742998,58.99599865078926,99.16103448275862,95.28067016601562
