temperature_C,method,current_bin,sample_count,MAE_percent,RMSE_percent,P95_ABS_ERROR_percent
0,Coulomb Counting,0-0.5A,15973,0.06363173904111148,0.08307986001879333,0.19012932057161144
0,Coulomb Counting,0.5-1A,3068,0.05240837320852227,0.0712204831597491,0.1566530255133184
0,Coulomb Counting,1-2A,4142,0.05824339941414374,0.0779610429485486,0.16702353128547245
0,Coulomb Counting,2-3A,2172,0.07343512050078949,0.09498931646848834,0.19857737280143212
0,Coulomb Counting,3-5A,1395,0.0960647187818127,0.11490284311360952,0.21548977283090803
0,Coulomb Counting,>5A,698,0.12631484909523472,0.14300215756605217,0.22625923925588082
0,Filtered CNN-LSTM Teacher,0-0.5A,15836,1.155347842675598,1.7350156767310352,3.7883870545749048
0,Filtered CNN-LSTM Teacher,0.5-1A,3057,1.2071213542694728,2.0499851377105376,4.2400586831980736
0,Filtered CNN-LSTM Teacher,1-2A,4129,1.1502117125181863,1.797246268740995,3.8523779896703254
0,Filtered CNN-LSTM Teacher,2-3A,2167,1.0488668126170497,1.4800511280783968,3.1971233967748187
0,Filtered CNN-LSTM Teacher,3-5A,1388,1.0241265690782764,1.3641027836631399,2.812857397408315
0,Filtered CNN-LSTM Teacher,>5A,694,0.8642794991619929,1.158932881413896,2.5606527194319146
0,Filtered Distilled Tiny CNN-LSTM,0-0.5A,15836,2.4472700828861376,3.192897568746886,6.088670756899077
0,Filtered Distilled Tiny CNN-LSTM,0.5-1A,3057,2.5296100574613156,3.2985483858986444,6.642114586139548
0,Filtered Distilled Tiny CNN-LSTM,1-2A,4129,2.5442432839680036,3.347228189625479,6.930920572215113
0,Filtered Distilled Tiny CNN-LSTM,2-3A,2167,2.5927269142041243,3.396525670551621,7.699227217049426
0,Filtered Distilled Tiny CNN-LSTM,3-5A,1388,2.578020544598948,3.313080652285408,7.29366682486698
0,Filtered Distilled Tiny CNN-LSTM,>5A,694,2.5752945770791342,3.2747790493021975,7.223266064874056
0,Filtered Tiny CNN-LSTM Student,0-0.5A,15836,1.6874839782035376,2.969926611833158,7.746414210878569
0,Filtered Tiny CNN-LSTM Student,0.5-1A,3057,1.760472093294092,3.155812026548582,8.331730618180902
0,Filtered Tiny CNN-LSTM Student,1-2A,4129,1.8170666655932164,3.1905326737345012,8.629710550242457
0,Filtered Tiny CNN-LSTM Student,2-3A,2167,1.98509817181171,3.3054676875035764,9.426089552254505
0,Filtered Tiny CNN-LSTM Student,3-5A,1388,1.9591016700188888,3.1834888341793213,9.000228867103306
0,Filtered Tiny CNN-LSTM Student,>5A,694,1.9934050121987819,3.220345155692515,8.946588361016634
0,Filtered-feature MLP,0-0.5A,15973,0.8547344674243426,1.0767211896672895,2.2306930839765875
0,Filtered-feature MLP,0.5-1A,3068,0.9245339630281857,1.165434579977972,2.390943913402125
0,Filtered-feature MLP,1-2A,4142,0.9568877924502747,1.2021872164755956,2.4305306946622736
0,Filtered-feature MLP,2-3A,2172,0.9570638449514369,1.216780183903876,2.512363694966934
0,Filtered-feature MLP,3-5A,1395,1.147466434284144,1.403810918622007,2.6857346354217717
0,Filtered-feature MLP,>5A,698,1.4873917544841921,1.7438860349304264,3.2173222993904766
0,Instantaneous MLP,0-0.5A,15973,1.7357362460497152,2.4887320844265783,4.994546003634205
0,Instantaneous MLP,0.5-1A,3068,1.7429140215181933,2.465080325708278,4.931445919653765
0,Instantaneous MLP,1-2A,4142,2.4087400908113366,2.9726569364172977,5.415672683909259
0,Instantaneous MLP,2-3A,2172,2.7366268934121205,3.371906842581109,5.7749276582710625
0,Instantaneous MLP,3-5A,1395,3.0123985243471925,3.814915698719499,7.365383040099688
0,Instantaneous MLP,>5A,698,3.7395525377677563,5.057953524946615,9.8615939686116
0,LSTM,0-0.5A,15836,0.7994371113824215,1.0342759274071052,2.1466531247106104
0,LSTM,0.5-1A,3057,0.7266166096276458,0.9289489403184434,1.8452276905980618
0,LSTM,1-2A,4129,0.827666423241145,1.0373791690683265,1.9968820653455024
0,LSTM,2-3A,2167,0.9946257206770042,1.2114440429757063,2.3131285316204204
0,LSTM,3-5A,1388,1.1223148023633203,1.34558679572507,2.4144523539049816
0,LSTM,>5A,694,1.3425395385846808,1.673925755636823,3.047680923461914
10,Coulomb Counting,0-0.5A,19118,0.09484409137701633,0.10512390174501125,0.16807926486365043
10,Coulomb Counting,0.5-1A,6830,0.08981787414634984,0.0992267993583583,0.16583406606126405
10,Coulomb Counting,1-2A,9147,0.09450286749881645,0.10424366497558989,0.17085067897333625
10,Coulomb Counting,2-3A,4760,0.10476660912280124,0.11499598696529599,0.1786852065931043
10,Coulomb Counting,3-5A,2972,0.11949885213115065,0.12964520286208792,0.19300629016236917
10,Coulomb Counting,>5A,1327,0.13696289115243201,0.1500682039035739,0.2325734272666729
10,Filtered CNN-LSTM Teacher,0-0.5A,18992,0.9943224175600474,1.3778703852868288,2.966027260944763
10,Filtered CNN-LSTM Teacher,0.5-1A,6808,0.888686587244105,1.1858787550890197,2.657024087313937
10,Filtered CNN-LSTM Teacher,1-2A,9135,0.939646463046161,1.2361049238126351,2.7578545874234024
10,Filtered CNN-LSTM Teacher,2-3A,4755,0.9075828147879057,1.1831064446795412,2.4610543878489537
10,Filtered CNN-LSTM Teacher,3-5A,2964,0.8642035206142314,1.106773689835443,2.257280331447218
10,Filtered CNN-LSTM Teacher,>5A,1323,0.8703385982343905,1.0924954414069081,2.1990292737237316
10,Filtered Distilled Tiny CNN-LSTM,0-0.5A,18992,1.8806130374043462,2.650358174413004,5.8770269513623505
10,Filtered Distilled Tiny CNN-LSTM,0.5-1A,6808,1.7875523733334344,2.4393890639801015,5.363347574694402
10,Filtered Distilled Tiny CNN-LSTM,1-2A,9135,1.849217279124215,2.509323891071284,5.572798340896076
10,Filtered Distilled Tiny CNN-LSTM,2-3A,4755,1.7333821329209294,2.345896074167621,5.35925501672153
10,Filtered Distilled Tiny CNN-LSTM,3-5A,2964,1.788679251584076,2.344408442003233,4.893849791428134
10,Filtered Distilled Tiny CNN-LSTM,>5A,1323,1.961125542393139,2.4932123807487256,4.956426468947843
10,Filtered Tiny CNN-LSTM Student,0-0.5A,18992,0.8371903360526848,1.217105297930912,2.524716826866416
10,Filtered Tiny CNN-LSTM Student,0.5-1A,6808,0.8266368614034713,1.1372885807732662,2.2614254644985845
10,Filtered Tiny CNN-LSTM Student,1-2A,9135,0.8499695044632124,1.152717323127715,2.295018996666216
10,Filtered Tiny CNN-LSTM Student,2-3A,4755,0.8397221639384137,1.1185260225565334,2.1558768557844408
10,Filtered Tiny CNN-LSTM Student,3-5A,2964,0.8347138804831108,1.1288142083990107,2.23730830435917
10,Filtered Tiny CNN-LSTM Student,>5A,1323,0.7871604287448808,1.062336921736608,2.19486305157892
10,Filtered-feature MLP,0-0.5A,19118,0.6624511775584893,0.8652351257060448,1.6873582513179144
10,Filtered-feature MLP,0.5-1A,6830,0.7103938168986109,0.8968563802274143,1.690835541752588
10,Filtered-feature MLP,1-2A,9147,0.7227615062188836,0.9146474051917248,1.7796362562489987
10,Filtered-feature MLP,2-3A,4760,0.7185145489929922,0.9342421420555073,1.95596071158624
10,Filtered-feature MLP,3-5A,2972,0.700295284644176,0.928123627301198,1.9543938919669754
10,Filtered-feature MLP,>5A,1327,0.8026282508539933,1.0454186886336272,2.1136009200680372
10,Instantaneous MLP,0-0.5A,19118,1.6071132111166495,2.2479484300043913,4.7985118792632715
10,Instantaneous MLP,0.5-1A,6830,1.7377561295226736,2.3349700364255095,4.551024111013297
10,Instantaneous MLP,1-2A,9147,2.3996027980686776,3.0426488816370925,5.599471309319579
10,Instantaneous MLP,2-3A,4760,2.5961518398560712,3.2826490278413702,6.053021109361363
10,Instantaneous MLP,3-5A,2972,2.7932084424520744,3.6530800883252637,6.954787232323497
10,Instantaneous MLP,>5A,1327,3.0681354667130605,4.115163093218973,7.987931820597452
10,LSTM,0-0.5A,18992,0.7681968453577497,0.951981347782157,1.7994349949277701
10,LSTM,0.5-1A,6808,0.7875231184239301,0.989801283063053,1.9315767076426489
10,LSTM,1-2A,9135,0.8126884618170608,1.0104610878805496,1.9564475160796055
10,LSTM,2-3A,4755,0.8171253708531973,1.033481374672106,2.0488279061152994
10,LSTM,3-5A,2964,0.8272242461420704,1.0679618735321634,2.1318654693077392
10,LSTM,>5A,1323,0.9746973283591567,1.2576807629541038,2.5130683067584823
