temperature_C,method,dynamic_bin,sample_count,MAE_percent,RMSE_percent,P95_ABS_ERROR_percent
0,Coulomb Counting,low,12182,0.0651068658719723,0.08474531551388988,0.19248658906115845
0,Coulomb Counting,medium,7742,0.05552831652797337,0.07501901299499047,0.16496672019559558
0,Coulomb Counting,high,7524,0.07669721950633762,0.09797043720216547,0.19854758801529537
0,Filtered CNN-LSTM Teacher,low,12073,1.1686419102045946,1.7433187816339517,3.8087142649683434
0,Filtered CNN-LSTM Teacher,medium,7705,1.165990374854605,1.8548824791393839,3.884347053264753
0,Filtered CNN-LSTM Teacher,high,7493,1.059215933629462,1.5888217824809208,3.357480219347732
0,Filtered Distilled Tiny CNN-LSTM,low,12073,2.409662816816865,3.1615994000978063,6.106756534971037
0,Filtered Distilled Tiny CNN-LSTM,medium,7705,2.5619564190013744,3.341206796978082,6.613672066524116
0,Filtered Distilled Tiny CNN-LSTM,high,7493,2.5551074706244488,3.3070377488068385,6.879212539146677
0,Filtered Tiny CNN-LSTM Student,low,12073,1.6788596983875541,2.9389767291230524,7.746469905458648
0,Filtered Tiny CNN-LSTM Student,medium,7705,1.7747908864516286,3.175259127522619,8.313922310664742
0,Filtered Tiny CNN-LSTM Student,high,7493,1.8775063053905057,3.166550462959926,8.587073867271686
0,Filtered-feature MLP,low,12182,0.8610727268469248,1.0902382840371316,2.2754491886935404
0,Filtered-feature MLP,medium,7742,0.9064470405764046,1.14401495082066,2.325261493911069
0,Filtered-feature MLP,high,7524,1.0184649027336046,1.2705823915190586,2.5152195302118754
0,Instantaneous MLP,low,12182,1.6717071329081008,2.3387097463205544,4.80770212834704
0,Instantaneous MLP,medium,7742,1.728471463564052,2.265970196684221,4.516270255499719
0,Instantaneous MLP,high,7524,2.9318276971861317,3.8348718748903177,7.355689974883229
0,LSTM,low,12073,0.8241522903300086,1.0625470233128993,2.1728826314991947
0,LSTM,medium,7705,0.747306300212202,0.9673205176583827,1.9787782256027766
0,LSTM,high,7493,0.9656281076901565,1.2016460929612383,2.3031779748324737
10,Coulomb Counting,low,11492,0.09760963808126386,0.10884261739397812,0.17712985421498142
10,Coulomb Counting,medium,15872,0.09053182470897209,0.10023882501851412,0.1688798806612282
10,Coulomb Counting,high,16790,0.10530324420988348,0.11578318002023447,0.18290375410940304
10,Filtered CNN-LSTM Teacher,low,11405,1.067572190106348,1.489799325239102,3.161619629958582
10,Filtered CNN-LSTM Teacher,medium,15818,0.9113277214940736,1.2106376108350394,2.7569462655166075
10,Filtered CNN-LSTM Teacher,high,16754,0.8926519540593282,1.1705839112213352,2.530815399301465
10,Filtered Distilled Tiny CNN-LSTM,low,11405,1.9625476419254837,2.8185154720295826,6.3731397599845
10,Filtered Distilled Tiny CNN-LSTM,medium,15818,1.7947535155722507,2.4453662263891567,5.419343592018921
10,Filtered Distilled Tiny CNN-LSTM,high,16754,1.7992741243688315,2.4053264834406516,5.2894014123061615
10,Filtered Tiny CNN-LSTM Student,low,11405,0.8766309798625502,1.31257526856149,3.276189114274643
10,Filtered Tiny CNN-LSTM Student,medium,15818,0.7984456956358557,1.0991703552918246,2.150153427189794
10,Filtered Tiny CNN-LSTM Student,high,16754,0.8459309882790433,1.13377449987135,2.260193680204191
10,Filtered-feature MLP,low,11492,0.6712166432657088,0.8904701546211956,1.7291873372670956
10,Filtered-feature MLP,medium,15872,0.7063035789727021,0.8956736359787624,1.7053104882261505
10,Filtered-feature MLP,high,16790,0.7010275960424637,0.905866617152838,1.8094106146894948
10,Instantaneous MLP,low,11492,1.5470430321932267,2.0572597518110913,4.494317634079305
10,Instantaneous MLP,medium,15872,1.7695154350784654,2.2693715341463383,4.405350259250706
10,Instantaneous MLP,high,16790,2.585406672434955,3.46490424523535,6.694287751888201
10,LSTM,low,11405,0.7539651792316024,0.9304840151047951,1.7482086707805833
10,LSTM,medium,15818,0.7879415376172001,0.9896176366036201,1.9089546001039648
10,LSTM,high,16754,0.8319910012050417,1.0478321089831277,2.0325117432166793
